k,hit_rate_percent
1,90.74074074074075
2,92.5925925925926
3,92.5925925925926
4,93.51851851851852
5,93.51851851851852
6,94.44444444444444
7,94.44444444444444
8,94.44444444444444
9,94.44444444444444
10,94.44444444444444
11,95.37037037037037
12,95.37037037037037
13,95.37037037037037
14,96.29629629629629
15,96.29629629629629
16,96.29629629629629
17,96.29629629629629
18,96.29629629629629
19,96.29629629629629
20,97.22222222222221
21,97.22222222222221
22,97.22222222222221
23,97.22222222222221
24,97.22222222222221
25,97.22222222222221
26,97.22222222222221
27,97.22222222222221
28,97.22222222222221
29,97.22222222222221
30,97.22222222222221
31,97.22222222222221
32,97.22222222222221
33,97.22222222222221
34,97.22222222222221
35,97.22222222222221
36,97.22222222222221
37,97.22222222222221
38,97.22222222222221
39,97.22222222222221
40,97.22222222222221
41,98.14814814814815
42,98.14814814814815
43,98.14814814814815
44,98.14814814814815
45,98.14814814814815
46,98.14814814814815
47,98.14814814814815
48,98.14814814814815
49,98.14814814814815
50,98.14814814814815
51,98.14814814814815
52,98.14814814814815
53,98.14814814814815
54,98.14814814814815
55,98.14814814814815
56,98.14814814814815
57,98.14814814814815
58,98.14814814814815
59,98.14814814814815
60,98.14814814814815
61,98.14814814814815
62,98.14814814814815
63,98.14814814814815
64,98.14814814814815
65,98.14814814814815
66,98.14814814814815
67,98.14814814814815
68,98.14814814814815
69,98.14814814814815
70,98.14814814814815
71,98.14814814814815
72,98.14814814814815
73,98.14814814814815
74,98.14814814814815
75,98.14814814814815
76,98.14814814814815
77,98.14814814814815
78,98.14814814814815
79,98.14814814814815
80,98.14814814814815
81,98.14814814814815
82,98.14814814814815
83,98.14814814814815
84,98.14814814814815
85,98.14814814814815
86,98.14814814814815
87,99.07407407407408
88,99.07407407407408
89,99.07407407407408
90,99.07407407407408
91,99.07407407407408
92,99.07407407407408
93,99.07407407407408
94,99.07407407407408
95,99.07407407407408
96,99.07407407407408
97,99.07407407407408
98,99.07407407407408
99,99.07407407407408
100,99.07407407407408
101,99.07407407407408
102,99.07407407407408
103,99.07407407407408
104,99.07407407407408
105,99.07407407407408
106,99.07407407407408
107,99.07407407407408
108,99.07407407407408
