k,penetration,hit_rate
1,0.0022988505747126436,0.9429362880886426
2,0.004597701149425287,0.9529085872576177
3,0.006896551724137931,0.9584487534626038
4,0.009195402298850575,0.9628808864265928
5,0.011494252873563218,0.9645429362880886
6,0.013793103448275862,0.9662049861495845
7,0.016091954022988506,0.9667590027700831
8,0.01839080459770115,0.968421052631579
9,0.020689655172413793,0.968421052631579
10,0.022988505747126436,0.968421052631579
11,0.02528735632183908,0.9695290858725761
12,0.027586206896551724,0.9700831024930748
13,0.029885057471264367,0.9706371191135734
14,0.03218390804597701,0.9706371191135734
15,0.034482758620689655,0.971191135734072
16,0.0367816091954023,0.971191135734072
17,0.03908045977011494,0.971191135734072
18,0.041379310344827586,0.9717451523545706
19,0.04367816091954023,0.9722991689750693
20,0.04597701149425287,0.9734072022160665
21,0.04827586206896552,0.9739612188365651
22,0.05057471264367816,0.9750692520775623
23,0.052873563218390804,0.9750692520775623
24,0.05517241379310345,0.9750692520775623
25,0.05747126436781609,0.9750692520775623
26,0.059770114942528735,0.9756232686980609
27,0.06206896551724138,0.9756232686980609
28,0.06436781609195402,0.9756232686980609
29,0.06666666666666667,0.9767313019390582
30,0.06896551724137931,0.9767313019390582
31,0.07126436781609195,0.9767313019390582
32,0.0735632183908046,0.9767313019390582
33,0.07586206896551724,0.9778393351800554
34,0.07816091954022988,0.978393351800554
35,0.08045977011494253,0.9789473684210527
36,0.08275862068965517,0.9789473684210527
37,0.08505747126436781,0.9789473684210527
38,0.08735632183908046,0.9800554016620499
39,0.0896551724137931,0.9800554016620499
40,0.09195402298850575,0.9800554016620499
41,0.09425287356321839,0.9806094182825484
42,0.09655172413793103,0.9811634349030471
43,0.09885057471264368,0.9817174515235457
44,0.10114942528735632,0.9817174515235457
45,0.10344827586206896,0.9822714681440443
46,0.10574712643678161,0.9833795013850416
47,0.10804597701149425,0.9833795013850416
48,0.1103448275862069,0.9833795013850416
49,0.11264367816091954,0.9839335180055402
50,0.11494252873563218,0.9844875346260388
51,0.11724137931034483,0.9844875346260388
52,0.11954022988505747,0.9844875346260388
53,0.12183908045977011,0.9844875346260388
54,0.12413793103448276,0.9850415512465374
55,0.12643678160919541,0.9850415512465374
56,0.12873563218390804,0.9850415512465374
57,0.1310344827586207,0.9850415512465374
58,0.13333333333333333,0.9850415512465374
59,0.135632183908046,0.9850415512465374
60,0.13793103448275862,0.9855955678670361
61,0.14022988505747128,0.9855955678670361
62,0.1425287356321839,0.9855955678670361
63,0.14482758620689656,0.9855955678670361
64,0.1471264367816092,0.9861495844875346
65,0.14942528735632185,0.9861495844875346
66,0.15172413793103448,0.9861495844875346
67,0.15402298850574714,0.9867036011080332
68,0.15632183908045977,0.9867036011080332
69,0.15862068965517243,0.9867036011080332
70,0.16091954022988506,0.9872576177285318
71,0.1632183908045977,0.9878116343490305
72,0.16551724137931034,0.9878116343490305
73,0.167816091954023,0.9883656509695291
74,0.17011494252873563,0.9883656509695291
75,0.1724137931034483,0.9883656509695291
76,0.17471264367816092,0.9883656509695291
77,0.17701149425287357,0.9883656509695291
78,0.1793103448275862,0.9883656509695291
79,0.18160919540229886,0.9883656509695291
80,0.1839080459770115,0.9894736842105263
81,0.18620689655172415,0.9894736842105263
82,0.18850574712643678,0.9894736842105263
83,0.19080459770114944,0.990027700831025
84,0.19310344827586207,0.990027700831025
85,0.19540229885057472,0.990027700831025
86,0.19770114942528735,0.990027700831025
87,0.2,0.990027700831025
88,0.20229885057471264,0.990027700831025
89,0.2045977011494253,0.990027700831025
90,0.20689655172413793,0.990027700831025
91,0.20919540229885059,0.990027700831025
92,0.21149425287356322,0.990027700831025
93,0.21379310344827587,0.9905817174515236
94,0.2160919540229885,0.9905817174515236
95,0.21839080459770116,0.9905817174515236
96,0.2206896551724138,0.9905817174515236
97,0.22298850574712645,0.9911357340720222
98,0.22528735632183908,0.9911357340720222
99,0.22758620689655173,0.9911357340720222
100,0.22988505747126436,0.9911357340720222
