efSearch,penetration,hit_rate
1,0.0022988505747126436,0.696398891966759
2,0.004597701149425287,0.8077562326869806
3,0.006896551724137931,0.8609418282548477
4,0.009195402298850575,0.8925207756232687
5,0.011494252873563218,0.9030470914127424
6,0.013793103448275862,0.9157894736842105
7,0.016091954022988506,0.9224376731301939
8,0.01839080459770115,0.9263157894736842
9,0.020689655172413793,0.9285318559556787
10,0.022988505747126436,0.9307479224376731
11,0.02528735632183908,0.9313019390581717
12,0.027586206896551724,0.9335180055401662
13,0.029885057471264367,0.935180055401662
14,0.03218390804597701,0.9357340720221606
15,0.034482758620689655,0.9373961218836565
16,0.0367816091954023,0.9379501385041551
17,0.03908045977011494,0.939612188365651
18,0.041379310344827586,0.939612188365651
19,0.04367816091954023,0.939612188365651
20,0.04597701149425287,0.9401662049861496
21,0.04827586206896552,0.9401662049861496
22,0.05057471264367816,0.9401662049861496
23,0.052873563218390804,0.9407202216066483
24,0.05517241379310345,0.9407202216066483
25,0.05747126436781609,0.9418282548476454
26,0.059770114942528735,0.942382271468144
27,0.06206896551724138,0.942382271468144
28,0.06436781609195402,0.942382271468144
29,0.06666666666666667,0.942382271468144
30,0.06896551724137931,0.9429362880886426
31,0.07126436781609195,0.9429362880886426
32,0.0735632183908046,0.9429362880886426
33,0.07586206896551724,0.9429362880886426
34,0.07816091954022988,0.9429362880886426
35,0.08045977011494253,0.9429362880886426
36,0.08275862068965517,0.9429362880886426
37,0.08505747126436781,0.9429362880886426
38,0.08735632183908046,0.9429362880886426
39,0.0896551724137931,0.9429362880886426
40,0.09195402298850575,0.9429362880886426
41,0.09425287356321839,0.9429362880886426
42,0.09655172413793103,0.9429362880886426
43,0.09885057471264368,0.9429362880886426
44,0.10114942528735632,0.9429362880886426
45,0.10344827586206896,0.9429362880886426
46,0.10574712643678161,0.9429362880886426
47,0.10804597701149425,0.9429362880886426
48,0.1103448275862069,0.9429362880886426
49,0.11264367816091954,0.9429362880886426
50,0.11494252873563218,0.9429362880886426
51,0.11724137931034483,0.9429362880886426
52,0.11954022988505747,0.9429362880886426
53,0.12183908045977011,0.9429362880886426
54,0.12413793103448276,0.9429362880886426
55,0.12643678160919541,0.9429362880886426
56,0.12873563218390804,0.9429362880886426
57,0.1310344827586207,0.9429362880886426
58,0.13333333333333333,0.9429362880886426
59,0.135632183908046,0.9429362880886426
60,0.13793103448275862,0.9429362880886426
61,0.14022988505747128,0.9429362880886426
62,0.1425287356321839,0.9429362880886426
63,0.14482758620689656,0.9429362880886426
64,0.1471264367816092,0.9429362880886426
65,0.14942528735632185,0.9429362880886426
66,0.15172413793103448,0.9429362880886426
67,0.15402298850574714,0.9429362880886426
68,0.15632183908045977,0.9429362880886426
69,0.15862068965517243,0.9429362880886426
70,0.16091954022988506,0.9429362880886426
71,0.1632183908045977,0.9429362880886426
72,0.16551724137931034,0.9429362880886426
73,0.167816091954023,0.9429362880886426
74,0.17011494252873563,0.9429362880886426
75,0.1724137931034483,0.9429362880886426
76,0.17471264367816092,0.9429362880886426
77,0.17701149425287357,0.9429362880886426
78,0.1793103448275862,0.9429362880886426
79,0.18160919540229886,0.9429362880886426
80,0.1839080459770115,0.9429362880886426
81,0.18620689655172415,0.9429362880886426
82,0.18850574712643678,0.9429362880886426
83,0.19080459770114944,0.9429362880886426
84,0.19310344827586207,0.9429362880886426
85,0.19540229885057472,0.9429362880886426
86,0.19770114942528735,0.9429362880886426
87,0.2,0.9429362880886426
88,0.20229885057471264,0.9429362880886426
89,0.2045977011494253,0.9429362880886426
90,0.20689655172413793,0.9429362880886426
91,0.20919540229885059,0.9429362880886426
92,0.21149425287356322,0.9429362880886426
93,0.21379310344827587,0.9429362880886426
94,0.2160919540229885,0.9429362880886426
95,0.21839080459770116,0.9429362880886426
96,0.2206896551724138,0.9429362880886426
97,0.22298850574712645,0.9429362880886426
98,0.22528735632183908,0.9429362880886426
99,0.22758620689655173,0.9429362880886426
100,0.22988505747126436,0.9429362880886426
